FID_Indore,FID_all_Gr,GRID_ID,Shape_Leng,OBJECTID_1,GRID_ID_1,ZONE_CODE,COUNT,AREA,MEAN,OID_,GRID_ID_12,sum_Road_l,sum_Length,Polyline_C,sum_Transp,Point_Coun,sum_Nos,Point_Co_1,sum_Nos_1,Point_Co_2,School_Nos,Shape_Le_1,Shape_Ar_1,sum_Health,Point_Co_3,Shape_Le_2,Shape_Area,Direction
1,5516,ER-220,2999.955996,0,ER-220,0,0,0,0,51731,,7.871281908,7.872777855,35,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.010394639,1.91952E-06,South_West
1,5657,EN-219,2999.955996,3907,EN-219,3907,1,6.94444E-05,358.1425781,52223,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.002186523,1.434E-07,South_West
1,5658,EO-219,2999.955996,3908,EO-219,3908,1,6.94444E-05,187.1924896,52224,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.000970664,2.718E-08,South_West
1,5659,EP-219,2999.955996,3909,EP-219,3909,1,6.94444E-05,740.8901367,52225,,1.111018552,1.111097814,9,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.023828958,3.68292E-05,South_West
1,5660,EQ-219,2999.955996,3910,EQ-219,3910,1,6.94444E-05,328.5960388,52226,,0.739650939,0.739451847,2,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.020299923,2.15191E-05,South_West
1,5661,ER-219,2999.955996,0,ER-219,0,0,0,0,52227,,0.126179088,0.126180518,2,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924806,4.83876E-05,South_West
1,5662,ES-219,2999.955996,3911,ES-219,3911,1,6.94444E-05,616.1289063,52228,,1.657071125,1.656512361,11,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.022258231,2.75671E-05,South_East
1,5663,ET-219,2999.955996,3912,ET-219,3912,1,6.94444E-05,1002.512268,52229,,3.461977819,3.462924057,15,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.02552488,4.65195E-05,South_East
1,5664,EU-219,2999.955996,3913,EU-219,3913,1,6.94444E-05,625.2643433,52230,,3.727155852,3.726784678,17,0,0,0,0,1,1,1,2999.955996,649499.99886000000,0,0,0.017165432,1.2216E-05,South_East
1,5665,EV-219,2999.955996,3914,EV-219,3914,1,6.94444E-05,365.1997375,52231,,0.383405752,0.383127122,5,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.023510257,3.5683E-05,South_East
1,5666,EW-219,2999.955996,0,EW-219,0,0,0,0,52232,,0.721942005,0.721150131,1,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.011536467,3.35109E-06,South_East
1,5667,EX-219,2999.955996,0,EX-219,0,0,0,0,52233,,1.285274618,1.284704171,5,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.021175287,2.34531E-05,South_East
1,5669,EZ-219,2999.955996,3916,EZ-219,3916,1,6.94444E-05,357.0969543,52235,,1.083304336,1.082525667,3,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.013642945,6.39469E-06,South_East
1,5802,EN-218,2999.955996,0,EN-218,0,0,0,0,52719,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.024176411,3.92592E-05,South_West
1,5803,EO-218,2999.955996,3993,EO-218,3993,1,6.94444E-05,522.1789551,52720,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.024958902,4.25103E-05,South_West
1,5804,EP-218,2999.955996,0,EP-218,0,0,0,0,52721,,1.355208544,1.355080392,8,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924169,4.83851E-05,South_West
1,5805,EQ-218,2999.955996,3994,EQ-218,3994,1,6.94444E-05,752.6778564,52722,,0.150666944,0.150457547,1,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025924488,4.83864E-05,South_West
1,5806,ER-218,2999.955996,0,ER-218,0,0,0,0,52723,,4.162470041,4.16180471,15,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924171,4.83851E-05,South_West
1,5807,ES-218,2999.955996,3995,ES-218,3995,1,6.94444E-05,913.5743408,52724,,5.06791594,5.069759159,22,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025924488,4.83864E-05,South_East
1,5808,ET-218,2999.955996,0,ET-218,0,0,0,0,52725,,3.689262739,3.689406906,15,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924171,4.83851E-05,South_East
1,5809,EU-218,2999.955996,3996,EU-218,3996,1,6.94444E-05,465.4133301,52726,,0.158352662,0.158061526,1,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025924488,4.83864E-05,South_East
1,5810,EV-218,2999.955996,0,EV-218,0,0,0,0,52727,,1.895466884,1.896082541,7,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924169,4.83851E-05,South_East
1,5811,EW-218,2999.955996,3997,EW-218,3997,1,6.94444E-05,244.8080902,52728,,1.449669284,1.44912375,3,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025924488,4.83864E-05,South_East
1,5812,EX-218,2999.955996,0,EX-218,0,0,0,0,52729,,3.243277858,3.243963544,20,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924171,4.83851E-05,South_East
1,5813,EY-218,2999.955996,3998,EY-218,3998,1,6.94444E-05,300.9147034,52730,,3.492408597,3.490695813,16,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.024843285,4.34052E-05,South_East
1,5814,EZ-218,2999.955996,0,EZ-218,0,0,0,0,52731,,2.307046343,2.307051976,15,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924171,4.83851E-05,South_East
1,5815,FA-218,2999.955996,3999,FA-218,3999,1,6.94444E-05,263.0755615,52732,,2.418048555,2.417584207,6,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.017931288,1.4522E-05,South_East
1,5816,FB-218,2999.955996,0,FB-218,0,0,0,0,52733,,1.623993829,1.625278268,2,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.017875158,1.46202E-05,South_East
1,5943,EJ-217,2999.955996,4083,EJ-217,4083,1,6.94444E-05,768.7640991,53211,,1.205246854,1.206397637,2,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.014989577,7.28892E-06,South_West
